text,16,corona,crisis,everyone,fending,got,immune,know,real,system
#16 is my immune system fending off corona ,1,1,0,0,1,0,1,0,0,1
Everyone knows that we're facing a real crisis from the . But do you know how we got here and what we ne… ,0,0,1,1,0,1,0,1,1,0
"""She tested for , and her results were delayed. Five days later, she was dead in her kitchen."" She was 3… ",0,0,0,0,0,0,0,0,0,0
"The Goddard Report with host   #CoronaVirus, #ToxicDrugs, and #FakeNews How to turn a non-pandemic int… ",0,0,0,0,0,0,0,0,0,0
Robert Reich says airlines ‘shouldn’t see a dime of taxpayer money’ in a  bailout ,0,0,0,0,0,0,0,0,0,0
Coronavirus is spreading fear. Morrison could solve this with the stroke of a pen. People trust  Bowtell and Swan t… ,0,0,0,0,0,0,0,0,0,0
Trump finds a way to sprinkle some racism on the  pandemic.  Full episode: ,0,0,0,0,0,0,0,0,0,0
The Police in London are trying to brighten the mood.  The are going up and down the Thames in a police boat playin… ,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0
"Observance of World Oral Health Day at Wokha town by Indian Dental Association, wokha branch on March 20. Leaflets… ",0,0,0,0,0,0,0,0,0,0
DOJ Wants to Suspend Certain Constitutional Rights During Coronavirus Emergency ,0,0,0,0,0,0,0,0,0,0
No offense but the corona virus disappearing before April actually sucks ,0,1,0,0,0,0,0,0,0,0
"Mitch McConnell's aide implicated in stock market ""moves"" during ’ early days - Scott Sloofman purchased… ",0,0,0,0,0,0,0,0,0,0
Coronavirus Florida: Lake Worth Beach city commission meeting turns ugly ,0,0,0,0,0,0,0,0,0,0
I know you've seen the advice cautioning you to pay attention to what AG Barr does to further damage the rule of la… ,0,0,0,0,0,0,0,1,0,0
"hate that “shortness of breath” is a  symptom, every time i get to the top of the stairs i think i’ve go… ",0,0,0,0,0,0,0,0,0,0
"The U.S. Food and Drug Administration has approved the first rapid  test, which can produce results in a… ",0,0,0,0,0,0,0,0,0,0
"Some on the left are calling President Trump racist for calling COVID- the ""Chinese Virus."" ",0,0,0,0,0,0,0,0,0,0
For the average American the best way to tell if you have  is to cough in a rich person’s face and wait for their test results,0,0,0,0,0,0,0,0,0,0
"Coronavirus deaths, globally.  January 22nd: 17  February, 21st: 2,360  March 21st: 12,962",0,0,0,0,0,0,0,0,0,0
"Coronavirus update, Europe:  - Turkey: 277 new cases - Portugal: 260 new cases - Norway: 164 new cases - Czechia: 1… ",0,0,0,0,0,0,0,0,0,0
Excellent news! First point-of-care tests for #COVID approved by the FDA. Results available in 45 mins.  ,0,0,0,0,0,0,0,0,0,0
The Coronavirus isn’t gonna stop us from shredding the gnar ,0,0,0,0,0,0,0,0,0,0
Health Workers Study #SignLanguage to Care for #Deaf COVID- Patients ,0,0,0,0,0,0,0,0,0,0
A must read. I am a doctor. And I am immunocompromised. I am safe at home screening patients over the phone for COV… ,0,0,0,0,0,0,0,0,0,0
This just in: Navajo Nation issues “Stay at Home Order” for all residents of the Navajo Nation to fight the spread… ,0,0,0,0,0,0,0,0,0,0
I did almost everything right. Worked at home. Saw one friend in the last 10 days. Had a beer for an hour outside a… ,0,0,0,0,0,0,0,0,0,0
I did almost everything right. Worked at home. Saw one friend in the last 10 days. Had a beer for an hour outside a… ,0,0,0,0,0,0,0,0,0,0
A mother of three went from making $400 a night to $80 a night to nothing as the pandemic grew — and now she’s not… ,0,0,0,0,0,0,0,0,0,0
Corona  became a test for humanity. كورونا هو إختبار للبشرية والإنسانية. #CoronavirusPandemic  #COVIDー  #Covid_  #كورونا,0,1,0,0,0,0,0,0,0,0
Donald Trump’s inept response to the  pandemic in the United States is directly responsible for the moun… ,0,0,0,0,0,0,0,0,0,0
Hoy Corona Virus!  Tagging   #SBLIVE #SBShowBreakMarathon  #SB ,0,1,0,0,0,0,0,0,0,0
"We need to bring people together to fight Coronavirus.  Blaming China may seem like good politics, but it doesn’t s… ",0,0,0,0,0,0,0,0,0,0
These Madera County CA citrus workers are hard at work  covering the trees with mesh so you can enjoy sweet seedles… ,0,0,0,0,0,0,0,0,0,0
POV: you’re 80 and your shitty sorority granddaughter that talks to you like this is giving you COVID- ,0,0,0,0,0,0,0,0,0,0
The Ministry of Health in #Gaza has just revealed that the first two # cases were reported here for two… ,0,0,0,0,0,0,0,0,0,0
"China sends masks, gloves and test kits to nations affected by COVID- ",0,0,0,0,0,0,0,0,0,0
A MESSAGE FROM   🌐 🌐 🌐… ,0,0,0,0,0,0,0,0,0,0
"#COVID HYDROXYCHLOROQUINE & ; AZITHROMYCIN, taken together, have a real chance to be one of the biggest game change… ",0,0,0,0,0,0,0,0,1,0
See more about the estimates and the researchers' warnings — and how the rate of  infections could vary… ,0,0,0,0,0,0,0,0,0,0
"‘Without taking drastic measures, the healthy and optimistic among us will doom the vulnerable’ — Literally everyon… ",0,0,0,0,0,0,0,0,0,0
Meredith College: Adopt an Impacted Student Fund to help students affected by COVID- at Meredith College - Sign t… ,0,0,0,0,0,0,0,0,0,0
A MUST SEE! WITH THE CORONAVIRUS YOU MUST LEARN TO BOOST YOUR IMMUNE SYSTEM THIS IS YOUR LAST HOPE. HEALTH IS WEALT… ,0,0,0,0,0,0,1,0,0,1
Yo al Coronavirus ,0,0,0,0,0,0,0,0,0,0
#Coronavirus DOs and DON'Ts: The simple #infographic guide to protect you and your community… ,0,0,0,0,0,0,0,0,0,0
Well..... there goes my wedding.... #2020bride # ,0,0,0,0,0,0,0,0,0,0
‘YOU HAVE FAILED’: Internet slams Trump’s upbeat  ‘WIN’ tweet - ,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0
Coronavirus: Ministers urged to assist 'forgotten' self-employed  #Covid_ #SeaChange  ,0,0,0,0,0,0,0,0,0,0
For anyone who read the tweet from ,0,0,0,0,0,0,0,0,0,0
If you don't know something i think it's good to ask than to pretend or to blaspheme. Covid is corona even though o… ,0,1,0,0,0,0,0,1,0,0
"We, along with all CP branches, are currently closed due to . I will not be tweeting as regularly but we… ",0,0,0,0,0,0,0,0,0,0
Good: Now a point-of-care #COVID test with 45-minute turnaround approved by  ,0,0,0,0,0,0,0,0,0,0
"Now with the COVID- pandemic, half of the nation’s ethanol plants have shutdown, yet these same oil companies wan… ",0,0,0,0,0,0,0,0,0,0
"US accusations against China in relation to #COVID_ are baseless, said Zhang Yesui, spokesman for the National Pe… ",0,0,0,0,0,0,0,0,0,0
Deadly viruses don’t go away on their own and they don’t go away because the Supreme Court tells them to. COVID-… ,0,0,0,0,0,0,0,0,0,0
Kuwait was the “Pearl of the Gulf” until it was hit by an occupation. Now a 2nd crisis offers it a golden chance to… ,0,0,1,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0
"VIDEO: Coffin-makers in Nicaragua say business is booming amid the COVID- pandemic, where one owner says that som… ",0,0,0,0,0,0,0,0,0,0
